Time,Cell
1153.485,26
1192.489,26
1247.096,26
1290,26
1325.104,26
1364.108,26
1399.212,26
1438.216,26
1477.215,26
1520.125,26
1559.129,26
1602.034,26
1644.938,26
1707.346,26
1742.449,26
1785.352,26
1828.259,26
1867.261,26
1914.067,26
1953.071,26
106.175,27
154.93,27
209.534,27
260.239,27
307.046,27
353.85,27
412.357,27
466.962,27
517.668,27
595.677,27
669.784,27
755.593,27
825.8,27
931.112,27
1016.922,27
1094.929,27
1169.038,27
1247.045,27
1317.253,27
1391.36,27
1453.769,27
1543.479,27
1621.485,27
1699.494,27
1777.502,27
1859.411,27
1949.121,27
8.612,28
57.368,28
100.278,28
135.376,28
166.58,28
201.684,28
232.887,28
264.089,28
299.189,28
334.299,28
365.501,28
400.605,28
439.608,28
482.513,28
521.513,28
556.622,28
595.627,28
630.729,28
673.636,28
712.639,28
755.543,28
806.249,28
841.352,28
880.355,28
923.262,28
962.264,28
997.369,28
1040.275,28
1090.979,28
1129.983,28
1180.69,28
1223.594,28
1268.449,28
1325.005,28
1383.511,28
1426.415,28
1465.42,28
1512.213,28
1562.93,28
1617.537,28
1679.941,28
1738.449,28
1800.856,28
1843.755,28
1904.215,28
1960.773,28
54.388,29
108.024,29
172.369,29
213.335,29
267.941,29
310.845,29
349.849,29
404.456,29
447.359,29
486.364,29
537.07,29
587.775,29
630.679,29
673.587,29
720.389,29
758.413,29
821.8,29
876.405,29
915.41,29
962.215,29
1012.92,29
1055.825,29
1104.575,29
1152.542,29
1196.24,29
1235.244,29
1324.95,29
1356.158,29
1402.962,29
1453.667,29
1512.167,29
1553.127,29
1597.984,29
1636.987,29
1683.793,29
1724.745,29
1773.502,29
1824.208,29
1867.112,29
1910.016,29
1964.623,29
78.721,30
104.074,30
137.227,30
182.076,30
217.187,30
267.891,30
326.399,30
377.105,30
441.067,30
509.718,30
564.324,30
615.03,30
675.477,30
735.942,30
802.25,30
860.757,30
919.262,30
973.867,30
1034.319,30
1098.68,30
1163.038,30
1223.494,30
1282,30
1356.108,30
1414.615,30
1484.823,30
1529.677,30
1590.134,30
1660.341,30
1730.548,30
1792.955,30
1870.963,30
1929.471,30
61.121,31
100.124,31
162.535,31
236.639,31
271.742,31
322.449,31
388.755,31
447.261,31
509.669,31
556.474,31
618.881,31
677.381,31
751.493,31
790.498,31
845.104,31
891.91,31
946.515,31
997.221,31
1047.926,31
1118.133,31
1168.84,31
1223.445,31
1274.141,31
1328.757,31
1375.561,31
1430.167,31
1492.574,31
1551.08,31
1593.984,31
1640.789,31
1695.396,31
1750.001,31
1816.309,31
1863.114,31
1909.918,31
1964.524,31
33.768,32
96.174,32
162.482,32
230.739,32
283.395,32
341.901,32
412.108,32
470.615,32
558.374,32
630.532,32
692.938,32
747.544,32
825.555,32
887.961,32
934.764,32
1004.972,32
1063.477,32
1133.686,32
1215.595,32
1281.902,32
1324.807,32
1398.914,32
1476.922,32
1543.231,32
1605.636,32
1683.645,32
1746.051,32
1808.459,32
1878.666,32
1948.874,32
150.731,33
314.548,33
466.655,33
603.179,33
763.096,33
930.815,33
1067.33,33
1207.744,33
1309.156,33
1465.172,33
1601.687,33
1769.404,33
1925.421,33
18.067,34
57.071,34
92.175,34
127.279,34
162.382,34
197.486,34
236.489,34
271.593,34
316.448,34
353.502,34
388.606,34
431.511,34
466.611,34
509.519,34
552.425,34
595.328,34
634.333,34
677.238,34
720.142,34
763.046,34
805.951,34
846.904,34
887.86,34
930.765,34
973.67,34
1020.474,34
1059.478,34
1102.382,34
1149.188,34
1188.191,34
1234.997,34
1277.901,34
1320.806,34
1367.61,34
1406.615,34
1457.321,34
1504.126,34
1548.977,34
1597.736,34
1640.641,34
1695.246,34
1742.051,34
1788.856,34
1845.411,34
1894.167,34
1940.973,34
72.624,35
127.229,35
201.337,35
248.142,35
318.349,35
372.956,35
443.163,35
495.819,35
552.374,35
614.781,35
673.288,35
727.894,35
782.499,35
841.005,35
891.711,35
938.516,35
989.221,35
1047.728,35
1098.433,35
1153.039,35
1215.446,35
1267.13,35
1312.957,35
1375.363,35
1426.068,35
1480.674,35
1527.479,35
1582.085,35
1628.89,35
1679.595,35
1742.002,35
1788.807,35
1849.263,35
1905.82,35
1952.625,35
